ID,Bucket,Question,Complexity,Popularity
APP_ISSUES_408,Application Issues,I uninstalled a bunch of Flatpak games. Do they leave unused runtimes (like older GL drivers) behind,Intermediate,2
APP_ISSUES_409,Application Issues,I need a newer kernel for my wifi card but I want to stay on Debian Stable. How do I get it?,Advanced,3
APP_ISSUES_410,Application Issues,The boot menu (Grub) sits there for 10 seconds every time I turn on my PC. How do I make it faster?,Intermediate,3
APP_ISSUES_411,Application Issues,I'm trying to run an older proprietary app and it says 'error while loading shared libraries: libssl,Advanced,2
APP_ISSUES_412,Application Issues,I'm getting 'dlopen(): error loading libfuse.so.2: AppImages require FUSE to run'. I already install,Intermediate,3
APP_ISSUES_413,Application Issues,I haven't used this laptop in a year. I ran `apt update` and everything is 404 Not Found. Is my inte,Intermediate,3
APP_ISSUES_414,Application Issues,"I copied a file from my friend's USB drive to my desktop, but I can't edit it. It says 'Read-only'.",Beginner,3
APP_ISSUES_415,Application Issues,"I installed apps with `flatpak install`, and they run from the terminal, but they aren't showing up ",Intermediate,3
APP_ISSUES_416,Application Issues,"I type my password, the screen goes black, and then it brings me right back to the login screen. I c",Advanced,4
APP_ISSUES_417,Application Issues,I plugged in my HDMI monitor but the sound is still coming from my laptop speakers. It doesn't switc,Beginner,4
APP_ISSUES_418,Application Issues,"I set Chrome as default in Chrome's settings, but when I click links in email, Firefox still opens.",Beginner,3
APP_ISSUES_419,Application Issues,"Every time I switch from Windows to Linux, my clock is wrong by exactly 5 hours.",Intermediate,4
APP_ISSUES_420,Application Issues,I can't run or refresh any snaps. I get 'cannot communicate with server: Post ... dial unix /run/sna,Intermediate,3
APP_ISSUES_501,Application Issues,"I installed Discord from the Software Center (Flatpak), but it can't access my Downloads folder to s",Intermediate,4
APP_ISSUES_502,Application Issues,I'm worried about my privacy. Does the Firefox Snap send data back to Canonical or Ubuntu? How do I ,Beginner,3
APP_ISSUES_503,Application Issues,"I downloaded the Bitwarden AppImage. It runs, but I don't want it storing my vault password in plain",Intermediate,2
APP_ISSUES_504,Application Issues,I keep getting a GPG error about 'NO_PUBKEY' when I try to update my apps. I think I added a repo fo,Advanced,3
APP_ISSUES_505,Application Issues,I don't trust this Flatpak to access my internet. How do I completely block network access for just ,Intermediate,2
APP_ISSUES_506,Application Issues,Chromium takes forever to open the first time I click it after turning on my computer. Is it broken?,Beginner,4
APP_ISSUES_507,Application Issues,My Krita AppImage looks weird; the mouse cursor is huge and the theme doesn't match my Mint dark mod,Intermediate,3
APP_ISSUES_508,Application Issues,"Every time I open Chrome, it asks me to 'Enter password to unlock your login keyring'. How do I stop",Intermediate,4
APP_ISSUES_601,Application Issues,"My Firefox Sync is acting up. I signed in, but my bookmarks from my Windows PC aren't showing up on ",Beginner,3
APP_ISSUES_602,Application Issues,"I'm using the Nextcloud AppImage. Every time I reboot, I have to log in again. It's not saving my ac",Intermediate,3
APP_ISSUES_603,Application Issues,"I set up Syncthing via Flatpak to sync my photos to my phone, but it says 'Permission Denied' when I",Intermediate,2
APP_ISSUES_701,Application Issues,"I can't share my screen on Teams. The option is there, but when I click it, the viewers just see a b",Intermediate,3
APP_ISSUES_702,Application Issues,Slack (Snap) doesn't show the red badge count on the icon in the dock when I get new messages. I kee,Beginner,3
APP_ISSUES_703,Application Issues,Zoom crashes instantly when I try to enable the Virtual Background feature. I installed it from Flat,Intermediate,3
APP_ISSUES_704,Application Issues,"I installed VS Code via Flatpak. When I open the terminal inside VS Code, I can't use `dnf` or `gcc`",Intermediate,3
APP_ISSUES_801,Application Issues,"I'm trying to play a Windows game on Steam. It launches, I hear sound, but the screen is just black.",Intermediate,4
APP_ISSUES_802,Application Issues,"Spotify can't play my 'Local Files'. I pointed it to my Music folder, but the songs are greyed out.",Beginner,3
APP_ISSUES_803,Application Issues,VLC looks tiny on my 4K monitor. The interface text is unreadable. How do I scale just this app up?,Advanced,3
APP_ISSUES_804,Application Issues,Rhythmbox won't play MP3 files. It asks for a plugin but fails to install it.,Beginner,3
APP_ISSUES_805,Application Issues,I installed Lutris (Flatpak) to run my GOG games. I can't find where the games are installed on my h,Intermediate,3
APP_ISSUES_901,Application Issues,"I installed Waydroid to run Android apps, but the session stops immediately. Logs say 'binder node n",Advanced,2
APP_ISSUES_902,Application Issues,I'm trying to run an old Windows XP app with Wine. It says 'Bad EXE format'. I think I need a 32-bit,Intermediate,2
APP_ISSUES_903,Application Issues,"I downloaded Blender as a tar.xz file and extracted it. It works if I click the executable, but it's",Intermediate,3
APP_ISSUES_904,Application Issues,The latest update broke my specialized accounting software. How do I downgrade a specific package (e,Advanced,2
APP_ISSUES_905,Application Issues,"I added a PPA for a beta version of GIMP, but now my system updates are blocked because the PPA does",Advanced,3
AUTO_SCRIPT_001,Automation & Scripting,"My backup script works fine when I run it manually, but when cron runs it, it fails with 'command no",Intermediate,4
AUTO_SCRIPT_002,Automation & Scripting,"I'm trying to run a script I just wrote, but I keep getting 'Permission denied', even though I am th",Intermediate,4
AUTO_SCRIPT_003,Automation & Scripting,How do I redirect both stdout and stderr to a log file in a crontab entry? My current log is empty d,Intermediate,3
AUTO_SCRIPT_004,Automation & Scripting,"I created a simple systemd service, but it fails with '203/EXEC'. What does this mean?",Intermediate,2
AUTO_SCRIPT_005,Automation & Scripting,"I'm using variables in a heredoc within my script, but they are expanding prematurely on the local m",Advanced,2
AUTO_SCRIPT_101,Automation & Scripting,I am losing my mind. I put a script in `/etc/cron.daily` but it never runs. The permissions are 755.,Intermediate,4
AUTO_SCRIPT_102,Automation & Scripting,Why does my systemd timer trigger the service immediately on boot even though I scheduled it for 2 A,Advanced,2
AUTO_SCRIPT_103,Automation & Scripting,"My script utilizes `set -e` to stop on errors, but it's exiting even when a grep command simply fail",Intermediate,2
AUTO_SCRIPT_104,Automation & Scripting,"I'm using `inotifywait` to watch a directory recursively, but it fails with 'No space left on device",Advanced,2
AUTO_SCRIPT_105,Automation & Scripting,"I have a loop processing files with spaces in their names, and my script is breaking them into multi",Intermediate,3
AUTO_SCRIPT_201,Automation & Scripting,How do I set up a systemd service that runs as my own user without sudo?,Intermediate,3
AUTO_SCRIPT_202,Automation & Scripting,How can I ensure only one instance of my script runs at a time? I want to avoid race conditions if t,Advanced,3
AUTO_SCRIPT_203,Automation & Scripting,How do I create a script that automatically backs up a folder to a remote server using rsync over SS,Intermediate,3
AUTO_SCRIPT_204,Automation & Scripting,How do I ensure my temporary files are deleted even if the user presses Ctrl+C while the script is r,Intermediate,2
AUTO_SCRIPT_205,Automation & Scripting,How do I pass secrets (like API keys) to a systemd service securely without hardcoding them in the u,Advanced,2
AUTO_SCRIPT_301,Automation & Scripting,I need to run a backup every 10 minutes. Should I use Cron or Systemd Timers? What's the trade-off?,Intermediate,3
AUTO_SCRIPT_302,Automation & Scripting,I have a complex script parsing CSV logs. Should I stick with Bash/Awk or move to Python?,Advanced,2
AUTO_SCRIPT_303,Automation & Scripting,My laptop isn't always on. Should I use standard cron or anacron for daily maintenance scripts?,Intermediate,3
AUTO_SCRIPT_304,Automation & Scripting,What is the difference between `source script.sh` and `./script.sh`?,Intermediate,3
AUTO_SCRIPT_305,Automation & Scripting,I keep seeing `[[ ]]` vs `[ ]` in scripts. Which one should I use for automation scripts?,Advanced,3
AUTO_SCRIPT_401,Automation & Scripting,I have thousands of images to convert using ImageMagick. A simple loop is taking forever. How can I ,Advanced,2
AUTO_SCRIPT_402,Automation & Scripting,"I need to check if a website is down from a script, but I want to avoid downloading the whole page c",Intermediate,3
AUTO_SCRIPT_403,Automation & Scripting,"I need to perform a search and replace on a configuration file string, but the string contains slash",Advanced,3
AUTO_SCRIPT_404,Automation & Scripting,How can I automate a command that requires an interactive 'Yes/No' confirmation?,Intermediate,3
AUTO_SCRIPT_405,Automation & Scripting,I have to run the same command on 10 different servers. SSHing into each one is tedious.,Advanced,3
AUTO_SCRIPT_501,Automation & Scripting,I'm writing a bash script to rotate sensitive application logs. Standard `rm` isn't secure enough fo,Intermediate,3
AUTO_SCRIPT_502,Automation & Scripting,I have a backup script running via cron that needs to scp files to a remote server. I don't want to ,Intermediate,3
AUTO_SCRIPT_503,Automation & Scripting,My automation script requires an API key. I know hardcoding it is bad. How do I pass this variable s,Advanced,3
AUTO_SCRIPT_504,Automation & Scripting,I'm automating an offsite backup to a cloud bucket using `rclone`. I want to encrypt the tarball *be,Advanced,2
AUTO_SCRIPT_505,Automation & Scripting,I suspect someone modified my maintenance script. How can I set up an automated check (maybe a cron ,Intermediate,1
AUTO_SCRIPT_601,Automation & Scripting,"I have a laptop and a desktop. I wrote a script to rsync my 'Projects' folder between them, but if I",Intermediate,3
AUTO_SCRIPT_602,Automation & Scripting,I use Syncthing across 3 devices. Sometimes conflicts generate `.sync-conflict` files. I want a cron,Advanced,3
AUTO_SCRIPT_603,Automation & Scripting,"I manage my dotfiles with git. I want a script that runs on login, pulls the latest changes from Git",Advanced,3
AUTO_SCRIPT_701,Automation & Scripting,I need to monitor a specific internal API endpoint (`https://api.internal/health`). If it doesn't re,Intermediate,2
AUTO_SCRIPT_702,Automation & Scripting,I need a nightly backup script for a Postgres database running in Docker. It needs to keep the last ,Advanced,3
AUTO_SCRIPT_801,Automation & Scripting,I have a folder where I dump all my wallpapers. I want a script that automatically converts any PNGs,Intermediate,3
AUTO_SCRIPT_802,Automation & Scripting,"I'm running a Minecraft server. I want it to automatically restart if it crashes, but I also want it",Advanced,3
AUTO_SCRIPT_901,Automation & Scripting,I have a script that processes thousands of small text files in a loop. It's eating up 100% CPU and ,Advanced,2
AUTO_SCRIPT_902,Automation & Scripting,I'm iterating over files in a directory using `for f in $(ls *.mp4)`. It breaks whenever a filename ,Intermediate,3
AUTO_SCRIPT_903,Automation & Scripting,"I have a cron job that runs every minute. Sometimes the script takes longer than a minute to finish,",Advanced,2
COMM_EMAIL_001,Communication & Email,Thunderbird won't connect to my Gmail. It keeps saying 'Authentication Failed' but my password is de,Beginner,4
COMM_EMAIL_002,Communication & Email,"I can't share my screen in Zoom on Fedora. The button is there but when I click it, people just see ",Intermediate,3
COMM_EMAIL_003,Communication & Email,The Teams app I downloaded a year ago stopped working. It just says 'Preview ended'. How do I use Te,Beginner,3
COMM_EMAIL_004,Communication & Email,Discord audio is crackling like crazy whenever I join a voice channel. It's fine in other apps.,Intermediate,3
COMM_EMAIL_005,Communication & Email,"I tried to add my Outlook account to Thunderbird, but it keeps asking for a password over and over a",Beginner,3
COMM_EMAIL_006,Communication & Email,I need to connect to my work Exchange server. Thunderbird needs paid plugins. Does Evolution handle ,Intermediate,3
COMM_EMAIL_007,Communication & Email,"I installed Proton Mail Bridge, but Thunderbird can't find the server `127.0.0.1`.",Advanced,2
COMM_EMAIL_008,Communication & Email,Slack links aren't opening in my default browser. They don't do anything when clicked.,Beginner,3
COMM_EMAIL_009,Communication & Email,All my emails disappeared from my phone after I opened Thunderbird on my laptop! Help!,Beginner,2
COMM_EMAIL_010,Communication & Email,Signal Desktop keeps asking me to re-link my device every time I restart the computer.,Intermediate,3
COMM_EMAIL_011,Communication & Email,My webcam works in Cheese but Skype says 'No device found'.,Beginner,3
COMM_EMAIL_012,Communication & Email,I have thousands of emails. Thunderbird is super slow and freezes when I search.,Intermediate,3
COMM_EMAIL_013,Communication & Email,Zoom keeps crashing whenever I try to use a virtual background.,Intermediate,3
COMM_EMAIL_014,Communication & Email,KMail won't send emails. Akonadi server keeps printing errors about MySQL.,Advanced,2
COMM_EMAIL_015,Communication & Email,"When I share a tab in Google Meet on Firefox, the audio from the tab doesn't play for others.",Intermediate,3
COMM_EMAIL_016,Communication & Email,How do I make Thunderbird look less ugly? It looks like Windows 95.,Beginner,3
COMM_EMAIL_017,Communication & Email,Telegram notifications aren't using my system theme. They look like custom bubbles.,Intermediate,2
COMM_EMAIL_018,Communication & Email,I need to deploy Thunderbird to 50 users with pre-configured settings. Where is the `user.js`?,Advanced,2
COMM_EMAIL_019,Communication & Email,"Webex says 'Browser not supported' on Firefox, but I really don't want to install Chrome.",Intermediate,3
COMM_EMAIL_020,Communication & Email,How do I add a signature with a logo in Thunderbird? Text works but I can't paste images.,Beginner,3
COMM_EMAIL_021,Communication & Email,Zoom keeps adjusting my microphone volume automatically and it's annoying my colleagues.,Intermediate,3
COMM_EMAIL_022,Communication & Email,Mailspring keeps asking for a 'Password Safe' unlock on boot. It's annoying.,Intermediate,2
COMM_EMAIL_023,Communication & Email,I can receive emails but I cannot send them. SMTP times out.,Intermediate,4
COMM_EMAIL_024,Communication & Email,I'm trying to stream a game on Discord but there is no audio for the viewers.,Intermediate,3
COMM_EMAIL_025,Communication & Email,How do I backup my Thunderbird emails and settings before I wipe my computer?,Beginner,3
COMM_EMAIL_026,Communication & Email,Jitsi Meet camera quality is terrible on Firefox compared to Chrome.,Beginner,3
COMM_EMAIL_027,Communication & Email,"Geary is nice but it won't load old emails, only the recent ones.",Beginner,2
COMM_EMAIL_028,Communication & Email,I want to encrypt my emails with PGP. How do I set this up in Thunderbird?,Advanced,3
COMM_EMAIL_029,Communication & Email,Mattermost desktop app screen sharing is showing a black screen on Ubuntu.,Intermediate,3
COMM_EMAIL_030,Communication & Email,How do I spell check in the Tuta desktop app? It's not flagging my typos.,Beginner,2
COMM_EMAIL_031,Communication & Email,I accidentally marked a whole folder as read. Can I undo this?,Beginner,3
COMM_EMAIL_032,Communication & Email,I don't want to install the Skype app. Can I make calls from the browser on Linux?,Beginner,3
COMM_EMAIL_033,Communication & Email,I need to view my Google Calendar inside Thunderbird. The built-in calendar is empty.,Intermediate,3
COMM_EMAIL_034,Communication & Email,"Element is asking to verify this session, but I lost my other device. Can I read my old encrypted me",Intermediate,3
COMM_EMAIL_035,Communication & Email,I need to check why my email server is rejecting connections. How do I test SMTP from the terminal m,Advanced,2
COMM_EMAIL_036,Communication & Email,How do I stop Thunderbird from threading my emails? I hate the conversation view.,Beginner,3
COMM_EMAIL_037,Communication & Email,I can't annotate on shared screens in Zoom. The option is missing.,Intermediate,3
COMM_EMAIL_038,Communication & Email,My work requires a specific font for emails (Calibri). It's not in the list.,Intermediate,3
COMM_EMAIL_039,Communication & Email,Discord is stuck on 'Update Failed - Retrying in X seconds'. I can't open it.,Intermediate,3
COMM_EMAIL_040,Communication & Email,How do I create a new folder for my receipts? Right clicking 'Inbox' doesn't show 'New Folder'.,Beginner,3
COMM_EMAIL_041,Communication & Email,I installed BlueMail but it won't download attachments to my Downloads folder.,Beginner,2
COMM_EMAIL_042,Communication & Email,I want to move the Thunderbird cache off my SSD to my HDD to save write cycles.,Intermediate,2
COMM_EMAIL_043,Communication & Email,Teams PWA notification sounds are way too loud and there's no volume slider in the app.,Intermediate,2
COMM_EMAIL_044,Communication & Email,Thunderbird is blocking remote content in emails. How do I turn this off permanently?,Beginner,3
COMM_EMAIL_045,Communication & Email,I need to run Zoom in a firejail sandbox. Which profile should I use?,Advanced,1
COMM_EMAIL_046,Communication & Email,I want to export all my emails to PDF files for legal archiving.,Intermediate,2
COMM_EMAIL_047,Communication & Email,Slack uses too much RAM. Is there a lighter alternative?,Beginner,3
COMM_EMAIL_048,Communication & Email,How do I change the spell check language? It's underlining everything in red.,Beginner,3
COMM_EMAIL_049,Communication & Email,Calls on Jami are dropping constantly. I thought P2P was supposed to be robust?,Intermediate,2
COMM_EMAIL_050,Communication & Email,I have duplicate emails everywhere. Is there a tool to clean this up?,Intermediate,3
COMM_EMAIL_051,Communication & Email,My Push-to-Talk key doesn't work when I'm playing a game (Discord not in focus).,Intermediate,3
COMM_EMAIL_052,Communication & Email,The text in Thunderbird is too small to read on my 4K monitor.,Beginner,3
COMM_EMAIL_053,Communication & Email,How do I record a meeting in Zoom on Linux? The button is greyed out.,Beginner,3
COMM_EMAIL_054,Communication & Email,I need to delay sending emails by 1 minute in case I make a mistake. Outlook had this.,Intermediate,3
COMM_EMAIL_055,Communication & Email,Telegram downloads all images and fills up my disk. How do I stop it?,Beginner,3
COMM_EMAIL_056,Communication & Email,"Thunderbird keeps asking for the master password every time I send an email, not just at startup.",Advanced,3
COMM_EMAIL_057,Communication & Email,Signal Desktop text is huge. CTRL minus doesn't shrink it.,Intermediate,3
COMM_EMAIL_058,Communication & Email,Evolution shows 'Source not available' when I click on my Contacts.,Intermediate,3
COMM_EMAIL_059,Communication & Email,"When I reply to an email, my signature is at the very bottom below the quoted text. I want it at the",Beginner,3
COMM_EMAIL_060,Communication & Email,I installed Zoom from AUR and it won't open. Terminal says something about 'libQt5Core'.,Intermediate,3
COMM_EMAIL_101,Communication & Email,Why is Linux support for Zoom so bad? I can't share audio when I share my screen!,Intermediate,4
COMM_EMAIL_102,Communication & Email,Thunderbird keeps downloading thousands of old emails and filling up my hard drive! Stop it!,Beginner,3
COMM_EMAIL_103,Communication & Email,"I'm using Teams in Chrome because there's no app, but I don't get notifications when the browser is ",Intermediate,3
COMM_EMAIL_104,Communication & Email,"I can't send emails! Receiving works fine, but sending gives an SMTP timeout error.",Beginner,4
COMM_EMAIL_105,Communication & Email,"Discord keeps updating and refusing to open until I install the update, but the repo hasn't updated ",Intermediate,3
COMM_EMAIL_106,Communication & Email,Signal Desktop is showing 'Disconnected' constantly even though my internet is fine.,Beginner,2
COMM_EMAIL_107,Communication & Email,I can't open attachments! It says '/tmp/... permission denied' whenever I try to open a PDF.,Advanced,3
COMM_EMAIL_201,Communication & Email,How do I create an email signature with my company logo in Thunderbird?,Intermediate,3
COMM_EMAIL_202,Communication & Email,How do I sync my Google Calendar with the Ubuntu calendar app without installing anything extra?,Beginner,4
COMM_EMAIL_203,Communication & Email,How do I use a virtual background in Zoom on Linux? The option is greyed out.,Intermediate,3
COMM_EMAIL_204,Communication & Email,I want to backup all my Thunderbird emails and settings to a USB drive. Which file do I copy?,Intermediate,4
COMM_EMAIL_205,Communication & Email,How do I host a video call without making my friends install anything? Skype is too annoying.,Beginner,3
COMM_EMAIL_301,Communication & Email,Is Thunderbird better than Evolution? I just want something simple that looks like Outlook.,Beginner,3
COMM_EMAIL_302,Communication & Email,Which video app works best on Wayland? Zoom or Teams?,Intermediate,3
COMM_EMAIL_303,Communication & Email,I tried Geary and it's too simple. I tried Thunderbird and it's too complex. Is there a middle groun,Beginner,2
COMM_EMAIL_304,Communication & Email,I want to try a terminal email client. Should I use Mutt or Alpine?,Advanced,2
COMM_EMAIL_401,Communication & Email,How can I make Thunderbird sort emails from my boss into a specific folder automatically?,Intermediate,3
COMM_EMAIL_402,Communication & Email,How do I make Discord start minimized to the tray when I turn on my computer?,Intermediate,3
COMM_EMAIL_403,Communication & Email,I want to tag emails with 'ToDo' using just a keyboard shortcut.,Advanced,2
COMM_EMAIL_404,Communication & Email,I want to silence Slack notifications automatically after 6 PM. Is there a schedule setting?,Intermediate,2
COMM_EMAIL_405,Communication & Email,I have 5 different email accounts. It's annoying to check 5 different Inboxes. Can I merge them?,Intermediate,3
COMM_EMAIL_406,Communication & Email,How do I make a shortcut on my desktop that opens Gmail directly in its own window?,Beginner,3
COMM_EMAIL_407,Communication & Email,Is there a global hotkey to mute my microphone in Zoom so I don't have to find the window?,Intermediate,2
COMM_EMAIL_408,Communication & Email,How do I auto-archive emails older than 90 days?,Intermediate,2
COMM_EMAIL_409,Communication & Email,I want to delay sending emails by 60 seconds in case I made a mistake.,Advanced,2
COMM_EMAIL_410,Communication & Email,Telegram saves every image I view to my download folder. How do I stop it?,Beginner,3
COMM_EMAIL_501,Communication & Email,"I'm trying to send an encrypted email to my lawyer, but the 'Encrypt' button is grayed out in Thunde",Intermediate,3
COMM_EMAIL_502,Communication & Email,How do I stop email senders from knowing I opened their emails? I heard about tracking pixels.,Beginner,3
COMM_EMAIL_503,Communication & Email,ProtonMail Bridge won't connect after I updated Fedora. It says 'Vault is locked' or something simil,Advanced,2
COMM_EMAIL_504,Communication & Email,Signal Desktop is asking for a passphrase every time I open it on Debian. It's annoying.,Intermediate,3
COMM_EMAIL_505,Communication & Email,Is my video call actually encrypted? I see a green shield icon but I'm on public Wi-Fi.,Beginner,3
COMM_EMAIL_506,Communication & Email,I keep getting 'The certificate is not trusted because the issuer certificate is unknown' for my wor,Intermediate,3
COMM_EMAIL_507,Communication & Email,How do I turn off all data collection in Discord? I don't like them reading my messages.,Beginner,3
COMM_EMAIL_508,Communication & Email,I have a .p12 certificate file for signing emails. How do I import this into Evolution?,Advanced,2
COMM_EMAIL_509,Communication & Email,Is there a way to password protect Thunderbird so no one can read my emails if I leave my laptop ope,Intermediate,3
COMM_EMAIL_510,Communication & Email,"I want to use Secret Chats in Telegram on my desktop, but I can't find the option.",Intermediate,3
COMM_EMAIL_511,Communication & Email,Thunderbird keeps asking for my GPG passphrase every time I send an email. How do I make it remember,Intermediate,2
COMM_EMAIL_512,Communication & Email,My bank says my connection isn't secure when I try to log into webmail. I'm using a VPN.,Beginner,3
COMM_EMAIL_513,Communication & Email,I switched to Betterbird for better privacy. How do I ensure HTML emails are sanitized?,Intermediate,2
COMM_EMAIL_514,Communication & Email,I want to route only my email traffic through Tor. Is that possible in Thunderbird?,Advanced,2
COMM_EMAIL_515,Communication & Email,Can my boss see my private DMs on Slack? I'm using the app on my personal Fedora laptop.,Beginner,3
COMM_EMAIL_516,Communication & Email,"I linked my Google account in Settings, but now I'm worried. What exactly does Ubuntu access?",Intermediate,3
COMM_EMAIL_517,Communication & Email,I got an email that says it's from 'Support' but the address looks weird. How do I see the real send,Beginner,4
COMM_EMAIL_518,Communication & Email,I'm hosting a Jitsi call. How do I make sure random people don't bomb the meeting?,Intermediate,3
COMM_EMAIL_519,Communication & Email,I generated a revocation certificate for my OpenPGP key. Where should I store it?,Advanced,2
COMM_EMAIL_520,Communication & Email,I lost my Security Key for Element and now I can't read my old encrypted messages. Can I recover the,Intermediate,2
COMM_EMAIL_521,Communication & Email,How do I clear my saved passwords for Gmail in Firefox? I want to type it in every time for safety.,Beginner,3
COMM_EMAIL_522,Communication & Email,"I want to digitally sign my emails so people know it's really me, but I don't want to encrypt them. ",Intermediate,2
COMM_EMAIL_523,Communication & Email,Wire says 'Connection not secure' on Debian. I installed it from the repo.,Intermediate,2
COMM_EMAIL_524,Communication & Email,I keep getting spam. Does Thunderbird have a junk filter I need to turn on?,Beginner,4
COMM_EMAIL_525,Communication & Email,How do I configure Evolution to use OAuth2 for Office 365? It keeps asking for a password and failin,Advanced,3
COMM_EMAIL_601,Communication & Email,"I read an email on my phone, but it still shows as unread on Thunderbird on my laptop. Why doesn't i",Intermediate,3
COMM_EMAIL_602,Communication & Email,How do I sync my Google Contacts to Thunderbird? I hate having two address books.,Intermediate,4
COMM_EMAIL_603,Communication & Email,"I get notifications on my phone for Discord, but not on my PC. I want them on both.",Beginner,3
COMM_EMAIL_604,Communication & Email,I want to backup my iCloud calendar to my Linux machine using terminal. What tool should I use?,Advanced,2
COMM_EMAIL_605,Communication & Email,My open tabs aren't showing up on my laptop from my phone. I'm signed into Firefox on both.,Intermediate,3
